TimeSlot,mMTC_BW,URLLC_BW,eMBB_BW,mMTC_CPU,URLLC_CPU,eMBB_CPU,mMTC_MEM,URLLC_MEM,eMBB_MEM
196,173.32321755786,0,826.67678244214,17.332321755786,0,82.667678244214,17.332321755786,0,82.667678244214
197,256.347385358049,0,743.652614641952,25.6347385358049,0,74.3652614641952,25.6347385358049,0,74.3652614641952
198,172.103100088569,0,827.896899911431,17.2103100088569,0,82.7896899911431,17.2103100088569,0,82.7896899911431
199,117.315133023805,268.148875482983,614.535991493212,11.7315133023805,26.8148875482983,61.4535991493212,11.7315133023805,26.8148875482983,61.4535991493212
200,179.644096315738,0,820.355903684262,17.9644096315738,0,82.0355903684262,17.9644096315738,0,82.0355903684262
201,196.016482811351,0,803.983517188649,19.6016482811351,0,80.3983517188649,19.6016482811351,0,80.3983517188649
202,173.232902650366,0,826.767097349633,17.3232902650367,0,82.6767097349633,17.3232902650367,0,82.6767097349633
203,257.050891359718,0,742.949108640282,25.7050891359718,0,74.2949108640282,25.7050891359718,0,74.2949108640282
204,219.892791888785,0,780.107208111215,21.9892791888785,0,78.0107208111215,21.9892791888785,0,78.0107208111215
205,196.710798857733,0,803.289201142267,19.6710798857733,0,80.3289201142267,19.6710798857733,0,80.3289201142267
206,326.68037536766,0,673.31962463234,32.668037536766,0,67.331962463234,32.668037536766,0,67.331962463234
207,261.313902433988,0,738.686097566012,26.1313902433988,0,73.8686097566012,26.1313902433988,0,73.8686097566012
208,261.886362335709,0,738.113637664291,26.1886362335709,0,73.8113637664292,26.1886362335709,0,73.8113637664292
209,228.116790128975,0,771.883209871025,22.8116790128975,0,77.1883209871025,22.8116790128975,0,77.1883209871025
210,243.598056239423,0,756.401943760577,24.3598056239423,0,75.6401943760577,24.3598056239423,0,75.6401943760577
211,209.250899157838,0,790.749100842162,20.9250899157838,0,79.0749100842162,20.9250899157838,0,79.0749100842162
212,246.136769178307,0,753.863230821693,24.6136769178307,0,75.3863230821693,24.6136769178307,0,75.3863230821693
213,271.59200052434,0,728.40799947566,27.159200052434,0,72.840799947566,27.159200052434,0,72.840799947566
214,236.738354034655,0,763.261645965345,23.6738354034655,0,76.3261645965345,23.6738354034655,0,76.3261645965345
215,184.859781927274,0,815.140218072726,18.4859781927274,0,81.5140218072726,18.4859781927274,0,81.5140218072726
216,149.50082034075,0,850.49917965925,14.950082034075,0,85.049917965925,14.950082034075,0,85.049917965925
217,135.415638141085,0,864.584361858915,13.5415638141085,0,86.4584361858915,13.5415638141085,0,86.4584361858915
218,198.788866593778,0,801.211133406222,19.8788866593778,0,80.1211133406222,19.8788866593778,0,80.1211133406222
219,183.230890637973,0,816.769109362026,18.3230890637973,0,81.6769109362026,18.3230890637973,0,81.6769109362026
220,212.885199051232,0,787.114800948768,21.2885199051232,0,78.7114800948768,21.2885199051232,0,78.7114800948768
221,268.012575609613,0,731.987424390387,26.8012575609613,0,73.1987424390387,26.8012575609613,0,73.1987424390387
222,241.692429448559,0,758.307570551441,24.1692429448559,0,75.8307570551441,24.1692429448559,0,75.8307570551441
223,247.743804025419,0,752.256195974581,24.7743804025419,0,75.2256195974581,24.7743804025419,0,75.2256195974581
224,196.135691358481,0,803.86430864152,19.6135691358481,0,80.3864308641519,19.6135691358481,0,80.3864308641519
225,169.420177903124,0,830.579822096876,16.9420177903124,0,83.0579822096876,16.9420177903124,0,83.0579822096876
226,161.974525289871,0,838.025474710129,16.1974525289871,0,83.8025474710129,16.1974525289871,0,83.8025474710129
227,131.534337934613,0,868.465662065387,13.1534337934613,0,86.8465662065387,13.1534337934613,0,86.8465662065387
228,145.236738685067,0,854.763261314933,14.5236738685067,0,85.4763261314933,14.5236738685067,0,85.4763261314933
229,170.987723557903,0,829.012276442097,17.0987723557903,0,82.9012276442097,17.0987723557903,0,82.9012276442097
230,180.076220248879,0,819.923779751121,18.0076220248879,0,81.9923779751121,18.0076220248879,0,81.9923779751121
