TimeSlot,mMTC_BW,URLLC_BW,eMBB_BW
466,259.906372247886,143.865299627812,596.228328124302
467,256.779129778815,165.727629957666,577.493240263519
468,256.641186454501,157.441248459783,585.917565085716
469,253.348038164663,173.176162069001,573.475799766335
470,244.440163628779,201.19672379535,554.36311257587
471,241.424090860847,216.983169874733,541.59273926442
472,234.899746987979,249.280815769385,515.819437242636
473,238.460758606251,236.816774980916,524.722466412833
474,239.382078202657,224.97593623187,535.641985565473
475,238.985386675381,213.727139420277,547.287473904342
476,236.279758114991,203.040782449263,560.679459435746
477,235.600752889659,192.8887433268,571.510503783542
478,234.114528319607,183.24430616046,582.641165519933
479,231.142151345338,174.082090852437,594.775757802225
480,232.342792709119,165.377986309815,602.279220981066
481,232.607516177546,157.109086994324,610.28339682813
482,232.877910063736,149.253632644608,617.868457291656
483,233.817692880557,141.790951012377,624.391356107065
484,238.919484059333,134.701403461759,626.379112478908
485,244.993840539604,127.966333288671,627.039826171725
486,252.003696122063,121.568016624237,626.4282872537
487,255.096582935321,115.489615793025,629.413801271653
488,252.897496825594,109.715135003374,637.387368171032
489,248.123520824652,104.229378253205,647.647100922143
490,246.341510966221,99.9018872896309,653.756601744148
491,242.054205790022,99.4932602231316,658.452533986847
492,242.739570852687,99.4548479193324,657.80558122798
493,240.807458580074,121.552063647765,637.640477772161
494,238.499910078551,146.657666572247,614.842423349202
495,234.084447051256,164.51072669638,601.404826252364
496,233.291608303037,186.676956441811,580.031435255152
497,230.542101506602,202.53925683344,566.918641659958
498,226.340304045811,217.87683228913,555.782863665059
499,217.470812507982,246.56112210298,535.968065389038
500,216.205346393274,261.047196391541,522.747457215185
501,213.415978867642,272.494155430406,514.089865701952
502,207.494712346585,281.834387514421,510.670900138994
503,198.250181715874,304.458171002015,497.291647282112
504,190.02190647496,327.855965381104,482.122128143936
505,188.600166309739,338.047106647972,473.352727042289
506,189.87970187783,321.144751315574,488.975546806596
507,195.718314882634,305.087513749795,499.194171367571
508,200.927258524768,289.833138062305,509.239603412927
509,207.147489689109,275.34148115919,517.511029151701
510,210.286067873155,261.574407101231,528.139525025614
511,215.216445550709,248.495686746169,536.287867703122
512,211.73791362202,266.054861970813,522.207224407166
513,209.530474737555,285.795625063022,504.673900199423
514,206.257939703764,300.716480351434,493.025579944802
515,205.615695850195,285.680656333862,508.703647815942
516,208.774412576384,271.396623517169,519.828963906447
517,213.473933410805,257.826792341311,528.699274247884
518,215.734780895244,244.935452724245,539.329766380511
519,217.597306404933,232.688680088033,549.714013507034
520,220.16648500858,221.054246083631,558.779268907789
521,220.436825383382,210.00153377945,569.561640837168
